,Power Request,Load Scaling Factor,Cost Result
0,8200.0,0.11,0.2700000000000001
1,8200.0,0.13,0.22000000000000006
2,8200.0,0.15,0.21000000000000005
3,8200.0,0.17,0.3000000000000001
4,8200.0,0.19,0.3100000000000001
5,8200.0,0.21,0.24000000000000007
6,8700.0,0.11,0.2700000000000001
7,8700.0,0.13,0.21000000000000005
8,8700.0,0.15,0.3000000000000001
9,8700.0,0.17,0.9700000000000006
10,8700.0,0.19,-1.0
11,8700.0,0.21,-1.0
12,9200.0,0.11,-1.0
13,9200.0,0.13,0.3100000000000001
14,9200.0,0.15,0.3100000000000001
15,9200.0,0.17,-1.0
16,9200.0,0.19,-1.0
17,9200.0,0.21,-1.0
18,9700.0,0.11,-1.0
19,9700.0,0.13,-1.0
20,9700.0,0.15,-1.0
21,9700.0,0.17,-1.0
22,9700.0,0.19,-1.0
23,9700.0,0.21,-1.0
