,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,V1,V2,V3,V4,V5,V6,Sell Price
0,0.0,-1000.0,-57.30450953294363,0.0,4013.0136363651045,863.0598245865931,-818.7689514176577,0.7469135802469137,0.7410944722810675,0.7407407407407407,0.7159690516273759,0.735413210959342,0.7457948700704794,-2867.58943098,101.17007274294059,22.049312379996966,-3991.0663291640394,1.0646999126704402e-09,841.0657106376577,114.37767950778645,114.06767516990014,114.0,126.0,126.0,123.64163539258789,-12.292180381306778
1,1.0,-999.9999999998674,-57.26211103288512,-5.358126125284786e-13,3969.523780162693,871.0777106970284,-783.3393798269681,0.7530864197530857,0.7414479421022582,0.7407407407407407,0.6914658184164951,0.7300361880538049,0.7506302983410162,-2736.45943523,144.90036704288565,43.93413301000054,-3925.4512142327535,-6.027986362328675e-11,827.1873122769681,114.57828830121797,114.13480579169092,114.00000000000001,125.99999999999976,125.99999999999993,123.68091559091121,-12.290484441310127
2,2.0,-1000.0,-57.11626388286057,-4.290595475462058e-13,3925.839336303033,879.0528143588409,-747.775886778913,0.7592592592592586,0.7418005116323992,0.7407407407407407,0.6672322422664764,0.7246099361133183,0.7552461988766885,-2605.95194353,188.50531199286098,65.86204820000043,-3859.9183540929607,7.21906388540764e-11,813.586891068913,114.77829564919928,114.20202902637061,114.0,126.0,126.0,123.719396928096,-12.284650555313444
3,3.0,-999.9999999997542,-57.17441269771733,-5.546945215483842e-13,3881.975065439982,887.1346307101813,-711.9352834526909,0.7654320987654298,0.7421534401058418,0.7407407407407407,0.6432694332205505,0.7191337964175764,0.7596408611202238,-2475.06914912,232.1537367277179,87.49947952000055,-3794.6324980374725,0.010844052509547997,799.6311072926909,114.9772031812113,114.26832297563547,114.00000000000063,125.99999999999906,125.99996987763097,123.75884063001966,-12.286976507898885
4,4.0,-1000.0,-56.90325689291352,0.0,3838.4149729938404,895.3262750939136,-676.8379911943782,0.7716049382716027,0.7425046947780203,0.7407407407407407,0.6195755136341689,0.713607091015762,0.7638188734115471,-2344.410867,275.6568938929119,109.2955759999984,-3729.333244393375,4.6471260264473686e-10,785.9361182943783,115.17580791522566,114.33506418942494,114.0,126.0,125.99999999999994,123.79759576499828,-12.276130275711914
5,5.0,-999.9999999999985,-57.148992542862445,-1.3778322958328629e-14,3794.673713342857,903.3377844479398,-640.8625052479354,0.7777777777777756,0.7428574663369267,0.7407407407407407,0.5961516018234104,0.7080309318525031,0.7677748148019663,-2213.0731250999997,319.36562294286244,131.2066599,-3663.7134314428613,-4.495881884204096e-12,772.0879392479353,115.37504321988358,114.402118258055,114.0,125.99999999999999,126.0,123.83674108489147,-12.285959701714443
6,6.0,-1000.0,-56.9756790430563,0.0,3751.5541308444263,911.4233731358793,-606.0018249366998,0.7839506172839485,0.7432091680594148,0.7407407407407407,0.5729938602749881,0.7024048616479607,0.7715155668077485,-2083.1460321,362.79042764305535,152.93661409999905,-3598.558672543606,8.204711423774749e-10,758.7015905366998,115.57252670604706,114.46857922534821,114.0,126.0,125.9999999999996,123.87456916826879,-12.279027161716755
7,7.0,-999.9999999999916,-57.33958774286414,0.0,3707.820626142848,919.5140654904313,-569.9951038904236,0.7901234567901213,0.7435631161319016,0.7407407407407407,0.550106078632131,0.6967288488980198,0.7750340551033684,-1951.6182953,406.666889442864,174.55267349999983,-3533.0661513428554,-7.7530828276989e-12,744.7865672904236,115.77069445269821,114.53465358331513,114.00000000000001,125.99999999999999,126.0,123.91387897607234,-12.293583509714228
8,8.0,-1000.0,-57.18399659286594,-1.3868442573126775e-13,3664.6935779928817,927.5947263104728,-535.1043077104815,0.7962962962962942,0.7439161037651909,0.7407407407407407,0.5274845133358788,0.6910029555257329,0.778337168113927,-1822.7695875,449.57450469286607,196.12503760000016,-3468.5861719928726,8.858329139594141e-12,731.5259664104815,115.9654676168945,114.60055639620603,114.0,126.0,126.0,123.95132844593746,-12.287359863714574
9,9.0,-600.0000000002083,-257.30595239322724,-1.4933794202764325e-12,3437.9994339548434,806.443566209905,-387.13704777131125,0.7999999999999992,0.7455044121132972,0.7407407407407407,0.5062622946077624,0.6860249088207335,0.7807269029767129,-1691.9761817,693.2387662932288,218.0802544000015,-3202.966693593437,17.00805496140616,605.3009189713111,116.7643923226825,114.66758992008172,114.00000000000009,125.99999999999953,125.95274654221978,124.2593405674122,-4.292238095737485
