,Power Request,Load Scaling Factor,Cost Result
0,8000.0,0.1,0.2900000000000001
1,8000.0,0.12,0.2900000000000001
2,8000.0,0.14,0.19000000000000003
3,8000.0,0.16,0.16
4,8000.0,0.18,0.3000000000000001
5,8000.0,0.2,0.23000000000000007
6,8500.0,0.1,0.24000000000000007
7,8500.0,0.12,0.21000000000000005
8,8500.0,0.14,0.24000000000000007
9,8500.0,0.16,0.21000000000000005
10,8500.0,0.18,-1.0
11,8500.0,0.2,0.9700000000000006
12,9000.0,0.1,0.9700000000000006
13,9000.0,0.12,0.3100000000000001
14,9000.0,0.14,0.3000000000000001
15,9000.0,0.16,-1.0
16,9000.0,0.18,-1.0
17,9000.0,0.2,-1.0
18,9500.0,0.1,-1.0
19,9500.0,0.12,-1.0
20,9500.0,0.14,-1.0
21,9500.0,0.16,-1.0
22,9500.0,0.18,-1.0
23,9500.0,0.2,-1.0
24,10000.0,0.1,-1.0
25,10000.0,0.12,-1.0
26,10000.0,0.14,-1.0
27,10000.0,0.16,-1.0
28,10000.0,0.18,-1.0
29,10000.0,0.2,-1.0
