,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,V1,V2,V3,V4,V5,V6,Sell Price
0,0.0,-999.9999999687815,-999.9999999823309,2557.1378502367997,-999.9999999823657,3442.8621496826145,-999.9999999859366,-2000.0,-1557.1378502544692,-2557.1378502367997,-1442.8621497143124,-2442.862149696678,999.9999999859366,114.00003074381796,118.6844703606336,125.99999999986089,118.34699199563606,125.3635274695685,122.53984666095641,-104.99999999626168
1,1.0,-999.9999999687815,-999.9999999823309,2557.1378502367997,-999.9999999823657,3442.8621496826145,-999.9999999859366,-2000.0,-1557.1378502544692,-2557.1378502367997,-1442.8621497143124,-2442.862149696678,999.9999999859366,114.00003074381796,118.6844703606336,125.99999999986089,118.34699199563606,125.3635274695685,122.53984666095641,-104.99999999626168
2,2.0,-999.9999999687815,-999.9999999823309,2557.1378502367997,-999.9999999823657,3442.8621496826145,-999.9999999859366,-2000.0,-1557.1378502544692,-2557.1378502367997,-1442.8621497143124,-2442.862149696678,999.9999999859366,114.00003074381796,118.6844703606336,125.99999999986089,118.34699199563606,125.3635274695685,122.53984666095641,-104.99999999626168
3,3.0,-999.9999999687815,-999.9999999823309,2557.1378502367997,-999.9999999823657,3442.8621496826145,-999.9999999859366,-2000.0,-1557.1378502544692,-2557.1378502367997,-1442.8621497143124,-2442.862149696678,999.9999999859366,114.00003074381796,118.6844703606336,125.99999999986089,118.34699199563606,125.3635274695685,122.53984666095641,-104.99999999626168
4,4.0,-999.9999999687815,-999.9999999823309,2557.1378502367997,-999.9999999823657,3442.8621496826145,-999.9999999859366,-2000.0,-1557.1378502544692,-2557.1378502367997,-1442.8621497143124,-2442.862149696678,999.9999999859366,114.00003074381796,118.6844703606336,125.99999999986089,118.34699199563606,125.3635274695685,122.53984666095641,-104.99999999626168
5,5.0,-999.9999999687815,-999.9999999823309,2557.1378502367997,-999.9999999823657,3442.8621496826145,-999.9999999859366,-2000.0,-1557.1378502544692,-2557.1378502367997,-1442.8621497143124,-2442.862149696678,999.9999999859366,114.00003074381796,118.6844703606336,125.99999999986089,118.34699199563606,125.3635274695685,122.53984666095641,-104.99999999626168
6,6.0,-999.9999999687815,-999.9999999823309,2557.1378502367997,-999.9999999823657,3442.8621496826145,-999.9999999859366,-2000.0,-1557.1378502544692,-2557.1378502367997,-1442.8621497143124,-2442.862149696678,999.9999999859366,114.00003074381796,118.6844703606336,125.99999999986089,118.34699199563606,125.3635274695685,122.53984666095641,-104.99999999626168
7,7.0,-999.9999999687815,-999.9999999823309,2557.1378502367997,-999.9999999823657,3442.8621496826145,-999.9999999859366,-2000.0,-1557.1378502544692,-2557.1378502367997,-1442.8621497143124,-2442.862149696678,999.9999999859366,114.00003074381796,118.6844703606336,125.99999999986089,118.34699199563606,125.3635274695685,122.53984666095641,-104.99999999626168
8,8.0,-999.9999999687815,-999.9999999823309,2557.1378502367997,-999.9999999823657,3442.8621496826145,-999.9999999859366,-2000.0,-1557.1378502544692,-2557.1378502367997,-1442.8621497143124,-2442.862149696678,999.9999999859366,114.00003074381796,118.6844703606336,125.99999999986089,118.34699199563606,125.3635274695685,122.53984666095641,-104.99999999626168
9,9.0,-600.0000002810417,-600.000000157337,2000.005102736265,-600.0000000930467,2399.994897920825,-600.0000001256649,-2000.0,-1400.0051025789278,-2000.005102736265,-1199.994897702114,-1799.9948977951606,600.0000001256649,114.77454200970148,118.96721844836867,124.71247987774579,118.37732858080689,123.5847415759154,121.87365732715921,-39.0000000315887
10,10.0,5.7199428517287554e-11,-1.6638945167631678e-09,1000.0061527375196,-2.698558640598875e-08,999.9938472920651,-9.925031695886043e-10,-2000.0,-1000.0061527358557,-1000.0061527375196,-999.9938472640871,-999.9938472910727,9.925031695867696e-10,114.12247268255808,117.14923421899272,120.09973932116912,117.14919745463962,120.0996675989159,120.099667598913,59.999999999100964
11,11.0,1.606971705971523e-11,7.822742374787076e-11,1000.0061519417245,-7.711758104606144e-08,999.9938481352815,1.7321428134458365e-11,-2000.0,-1000.0061519418027,-1000.0061519417245,-999.9938480581812,-999.9938481352988,-1.7321428137415446e-11,114.12251459003275,117.1492750413403,120.09977913831025,117.14923828174484,120.09970742548714,120.09970742548718,59.99999999769116
12,12.0,-1.1214253598113941e-10,-1.8384563213320338e-10,1000.0063933241256,7.717176355550627e-08,999.9936065990328,-3.413965503777126e-11,-2000.0,-1000.0063933239418,-1000.0063933241256,-999.9936066761704,-999.9936065989987,3.4139655038195503e-11,114.1318003112883,117.15832158930345,120.10860415869243,117.15828339033058,120.1085296371099,120.1085296371098,60.00000000229925
13,13.0,-4.8949230085915216e-12,2.820611169785476e-11,1000.0071531049958,-3.868940914794008e-08,999.992844882033,2.051637288523478e-06,-2000.0,-1000.007153105024,-1000.0071531049958,-999.9928468949809,-999.9928469336703,-2.051637288523478e-06,114.1181605182305,117.14503646011123,120.09564760811658,117.1449937167112,120.09556422176199,120.09556422774054,60.00000005423432
14,14.0,3.0988577076689427e-10,2.1284326950141037e-10,1000.0060870058572,-6.496853445617417e-05,999.993980013731,-2.0515765724863385e-06,-2000.0,-1000.0060870060702,-1000.0060870058572,-999.99391299362,-999.9939779621544,2.051576572489653e-06,114.12734483382751,117.15398029880522,120.1043686171786,117.15394392721151,120.10429785014861,120.10429784417005,59.999997995580976
15,15.0,-7.562023268462288e-10,-5.459383394405696e-10,1000.0060315199182,6.492685724582997e-05,999.9939035546016,-7.50128133247539e-11,-2000.0,-1000.0060315193723,-1000.0060315199182,-999.9939684813838,-999.9939035545266,7.501281332543451e-11,114.1272335631028,117.15387173640704,120.10426255922138,117.15383569778693,120.10419206335985,120.10419206335963,60.00000194773043
16,16.0,7.780199916486275e-09,4.089644570384145e-10,1000.0059132291265,4.164916152649802e-08,999.9940867210231,1.2138285564501452e-11,-2000.0,-1000.0059132295354,-1000.0059132291265,-999.9940867626844,-999.9940867210353,-1.2138285564072036e-11,114.12166613671924,117.1484477962959,120.09897152074966,117.14841246280172,120.09890258973839,120.09890258973842,60.000000001795215
17,17.0,-7.2339647303721646e-09,-1.0501211041138393e-10,1000.0061611755315,-3.9186589221684547e-08,999.9938388710046,-1.0500745265095153e-11,-2000.0,-1000.0061611754264,-1000.0061611755315,-999.9938388318076,-999.9938388709941,1.0500745263697243e-11,114.12248054465942,117.14924190317623,120.09974684116479,117.14920508841918,120.09967502061804,120.09967502061801,59.99999999832801
18,18.0,-1.7118357422627705e-10,-2.3003271774723822e-11,1000.0061518933019,7.767169441572476e-08,999.9938480292437,-2.315799999798138e-11,-2000.0,-1000.0061518932789,-1000.0061518933019,-999.9938481068923,-999.9938480292205,2.315799999852185e-11,114.12251457996169,117.14927503138446,120.09977912845721,117.1492382720795,120.0997074157501,120.09970741575003,60.00000000231696
19,19.0,1.0996961020114632e-09,5.817069104955543e-10,1000.0061497912337,5.563085214520648e-10,999.9938502063906,1.3802079383681297e-10,-2000.0,-1000.0061497918155,-1000.0061497912337,-999.9938502070848,-999.9938502065286,-1.380207938385893e-10,114.12726653361878,117.15390420848068,120.1042945782692,117.15386746318146,120.10422289297514,120.10422289297554,60.00000000011846
20,20.0,-1.2262835047591749e-09,-5.714318005752835e-10,1000.0060525399865,-1.0373277212113443e-09,999.9939474629945,-1.4606965791104064e-10,-2000.0,-1000.0060525394151,-1000.0060525399865,-999.9939474618112,-999.9939474628485,1.4606965791498774e-10,114.12732310647817,117.1539590292533,120.10434776895471,117.1539228650653,120.10427721733224,120.10427721733181,59.99999999985869
21,21.0,1.91050794826302e-10,-4.9066351387235025e-12,1000.0061527099355,-1.5980616899631496e-07,999.9938474496555,2.895988746994107e-11,-2000.0,-1000.0061527099306,-1000.0061527099355,-999.9938472898784,-999.9938474496845,-2.8959887462357323e-11,114.12244057990542,117.14920294569357,120.09970881608353,117.14916618148489,120.09963709450389,120.09963709450398,59.99999999521939
22,22.0,-6.294643848728756e-10,-4.3074768132231065e-10,1000.0060242032328,0.00020096665292979043,999.9937748312528,-7.822786156940528e-11,-2000.0,-1000.006024202802,-1000.0060242032328,-999.9939757978275,-999.9937748311745,7.82278617938785e-11,114.12242639260229,117.14918874154999,120.09969458767439,117.14915274422005,120.09962377432872,120.09962377432849,60.00000602893744
23,23.0,2.125611480564066e-09,1.017583197793764e-09,1000.0047504719615,-0.00020072544484636505,999.9954502500709,2.69247901887398e-10,-2000.0,-1000.0047504729791,-1000.0047504719615,-999.9952495248953,-999.9954502503401,-2.6924790189086615e-10,114.12246407473826,117.1492216441117,120.09972296867002,117.14919325867187,120.09966817744872,120.0996681774495,59.99999397842917
24,24.0,-1.4069538993660833e-09,-5.764357539427932e-10,1000.003182261189,-7.945398050289974e-08,999.9968178203973,-1.4879228234279664e-10,-2000.0,-1000.0031822606124,-1000.003182261189,-999.9968177407944,-999.9968178202485,1.487922823428318e-10,114.13304223199833,117.15952183545923,120.1097655659037,117.15950282221941,120.10972847369156,120.10972847369112,59.99999999749363
25,25.0,5.45029881373876e-10,3.885054933165684e-10,1000.0060888214948,6.721931653708157e-05,999.9938439581875,6.756139256932092e-11,-2000.0,-1000.0060888218833,-1000.0060888214948,-999.9939111775716,-999.9938439582551,-6.75613920130528e-11,114.1224719664499,117.14923333066803,120.09973827034804,117.14919694756058,120.09966709522303,120.09966709522323,60.000002016633914
