,Min Charge,Max Charge,Cost Result
0,0.1,0.8,0.04
1,0.1,0.9,0.04
2,0.1,1.0,0.04
3,0.2,0.8,0.04
4,0.2,0.9,0.04
5,0.2,1.0,0.04
6,0.3,0.8,0.04
7,0.3,0.9,0.04
8,0.3,1.0,0.04
