,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,Pi7,Pi8,Pi9,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,B7cs,B8cs,B9cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,Pf17,Pf78,Pf89,V1,V2,V3,V4,V5,V6,V7,V8,V9,Sell Price
10,10.0,5.82548434118665e-09,-999.9999999986015,1.5586050759339985e-09,6.794557270739811e-10,1131.6355535569298,-1.5138196164156673e-07,3.3227594245917475e-09,4.303864791559618e-09,868.3644465773634,0.7999999999999994,0.6643479241187362,0.8000000000000005,0.7999999999999978,0.5334141202689603,0.8000000000000046,0.7999999999999995,0.7999999999999996,0.6010033877108104,-288.0427987149999,1158.1896943960428,79.12464562044138,-894.1971776712272,-973.3663479485477,79.14757912338197,-631.07567707599,-710.2166556156673,-789.2928928733635,119.93577589303828,116.50689916476136,116.26895673847584,122.51746146339698,125.26725353019818,125.04591757275637,121.76347281930775,123.78810513110403,125.99999998793896,-10.000000000342638
11,11.0,-3.649426181706274e-11,-999.9999999989843,1.2343471568479628e-10,-3.637722861868733e-10,1130.5443326189434,8.053499704870549e-10,-1.1216871475711038e-11,-2.4023128305846058e-11,869.4556673795475,0.7999999999999996,0.6705207636249028,0.7999999999999997,0.8000000000000002,0.5264354515490902,0.7999999999999996,0.7999999999999996,0.7999999999999997,0.5956363774183441,-224.05624243299985,1172.4607499878607,86.15850536687657,-871.9087687293849,-958.1426387377486,86.16402702519466,-610.8508906745122,-697.0269206915234,-783.2280199175475,117.81640227596448,114.28027878973865,114.0161004705194,120.37873891747851,123.13302006561392,122.88785868246401,119.61730756342932,121.63971026440385,123.87283288578814,-10.000000000318323
12,12.0,-5.101987188541064e-11,-999.999999999334,-3.751241731184612e-11,7.593129388751851e-11,1129.5015864091706,2.2271066196993476e-11,-1.278498392805355e-11,-6.365872858399562e-11,870.49841359023,0.7999999999999998,0.6766936031310715,0.8,0.7999999999999997,0.5194632195342188,0.7999999999999995,0.7999999999999997,0.8000000000000002,0.5902629304208735,-159.787105204,1186.7963775033718,93.36849218403752,-849.5350126322691,-942.8160137641931,93.38740610097773,-590.4530311931537,-683.7666101231665,-777.0696243342301,120.15959118464123,116.65148901496178,116.3710098988529,122.60914265462709,125.27159722833278,125.01040711823535,121.86732324743707,123.81551236651057,125.9929753582139,-9.999999999919268
13,13.0,-1.3296169692785219e-10,-1000.0,-5.112184849786222e-11,-1.401982671885137e-10,1128.4381064495283,-2.949494438569072e-10,-3.4299419358774337e-10,-9.337530620977062e-11,871.5618935538774,0.8000000000000007,0.6828664426372444,0.8000000000000003,0.8000000000000005,0.5124975522104563,0.8000000000000014,0.8000000000000019,0.8000000000000007,0.5848829187322693,-95.65941775600004,1201.049935869401,100.56308387405112,-827.1312555270929,-927.5842629512331,100.44507887729495,-570.0448758614411,-670.5183546377841,-770.9961263178775,117.94153457424476,114.32178542438528,114.01349246430159,120.3710823104816,123.0386379990554,122.75257588111336,119.62122299504708,121.56726466889526,123.76710842344077,-10.00000000013106
14,14.0,8.947599991354686e-11,-1000.0,3.126580270240239e-11,9.130946509030238e-11,1127.4888438156693,2.091285867578661e-10,2.841977300492386e-10,1.0009491342172661e-10,872.5111561836939,0.8000000000000002,0.6890392821434173,0.8000000000000002,0.8,0.5055377445325818,0.8,0.8000000000000002,0.8,0.5794970473978021,-31.5383028519999,1215.1743760541376,107.59999592096875,-804.6390108729697,-912.3009068078784,107.66413521579088,-549.6749637910782,-657.2869633627939,-764.9113746966939,118.00223046384839,114.34117513479251,114.01133423506899,120.3651681428405,122.98936676322788,122.68259632958836,119.6214816372751,121.52941925085834,123.71272248939712,-9.999999999895053
15,15.0,3.015172999345948e-11,-999.9999999989416,6.375494842544696e-11,1.4364510189549906e-11,1126.5259306144785,2.2712467437728135e-11,2.4591255924964602e-11,2.5174416564295627e-11,873.4740693842824,0.8,0.6952121216495836,0.7999999999999997,0.7999999999999998,0.49858388076335663,0.7999999999999998,0.8,0.7999999999999998,0.5741052321546892,32.278249211,1229.372498012878,114.71352436493625,-782.2967287925155,-897.0667369145012,114.69856797297729,-529.4983633983321,-644.1069309003076,-758.7706313042825,118.07788965730371,114.3758159634867,114.02424220426954,120.37439817534771,122.95504240134808,122.62811037578709,119.6371049478431,121.50683821057744,123.67316270656475,-9.999999999959812
16,16.0,-1.502275253109974e-11,-1000.0,-8.366931457100876e-11,-2.883943592524302e-11,1125.5267554423879,-1.0647564897399842e-10,-8.098708164088357e-11,-7.366735496913595e-11,874.4732445589623,0.8000000000000002,0.7013849611557564,0.8000000000000003,0.8,0.4916361847421073,0.8000000000000005,0.8000000000000005,0.8000000000000003,0.5687072491635845,95.82064209199984,1243.462661201045,121.70403960008366,-760.1041464072526,-881.9364949572815,121.85357243410647,-509.2900179528076,-630.9883433718886,-752.7601080799623,118.14868883626858,114.40580759248495,114.03287237971614,120.37934032139607,122.91680569671745,122.56934209654841,119.64788208027913,121.47965890080818,123.62944472217238,-10.000000000026912
17,17.0,7.568289989976058e-12,-1000.0,2.708073237308297e-11,-1.6930033307301707e-11,1124.4700367132418,9.993628998231972e-11,9.276051327313305e-11,4.085230893044675e-11,875.5299632865169,0.8000000000000002,0.7075578006619293,0.8000000000000002,0.8000000000000002,0.48469501167597623,0.7999999999999998,0.8,0.8,0.5633027432173715,159.8177061680001,1257.683675061983,128.92131895497292,-737.7565935093248,-866.6797474293418,128.86880196290008,-488.96899113765056,-617.7485581965578,-746.618176348517,118.23315603561142,114.44955488597519,114.05461713727054,120.39729565732681,122.89094606519352,122.52337109067915,119.67187422254902,121.46514508563838,123.5977920276861,-10.000000000010683
18,18.0,2.4277178362964583e-12,-1000.0,6.839991370686361e-12,9.832910652029143e-12,1123.4419134741086,-5.5555311446731815e-11,-8.778212144937575e-12,-9.146600192951113e-12,876.5580865260737,0.8000000000000002,0.7137306401681022,0.8000000000000002,0.8000000000000002,0.47776018504959283,0.8000000000000003,0.8,0.8,0.5578918908314081,223.04376593300003,1271.7172283981208,135.86049005099315,-715.7521988000627,-851.638481717053,135.96977829605552,-468.81950756405564,-604.7501197440645,-740.6583950820736,118.31413169837016,114.49031268915547,114.07422739876391,120.41287430627725,122.86336816114581,122.47541953834663,119.69297145126825,121.44847672430875,123.56453121835737,-9.999999999989914
19,19.0,4.3141528483560337e-10,-999.999999993083,5.23964342797002e-10,1.0981814783276195e-09,1122.4156230316023,1.5309615406580236e-10,-6.680740518445536e-11,4.681701323441642e-10,877.5843769588728,0.7999999999999975,0.7199034796742324,0.7999999999999969,0.7999999999999934,0.47083169354939775,0.7999999999999994,0.8000000000000004,0.7999999999999972,0.5524747033193164,286.499235494,1285.9257884485592,142.92126865447605,-693.5967600988536,-836.5236560777554,143.0016612088469,-448.6980893492741,-591.622432020341,-734.5905877678728,118.35835420239214,114.49258472750505,114.05484237649355,120.39193387253198,122.79977321160874,122.39151579246148,119.67785372425179,121.39573458098783,123.49549702679509,-9.999999998754944
20,20.0,-4.150290722170518e-10,-1000.0,-4.2980325687766145e-10,-1.122398824587757e-09,1121.3995294002375,-1.2100015661614518e-10,7.964370959365609e-11,-4.932699106526777e-10,878.6004706028737,0.8,0.7260763191804053,0.7999999999999996,0.8000000000000003,0.4639094742321123,0.8000000000000002,0.7999999999999998,0.8000000000000003,0.5470512436242368,349.3143695570002,1299.7655676080392,149.8720291534298,-671.6133597089942,-821.5796296361165,149.94145145112103,-428.71030745146004,-578.6472643683804,-728.5820380058736,118.41928642253251,114.5132808869616,114.05429005122413,120.38794270448385,122.75325856922646,122.3249912051809,119.67967501642796,121.36011575923813,123.4434490918809,-10.000000001119616
21,21.0,-4.6296862431350904e-11,-1000.0,-2.48043479012506e-10,1.320538066471016e-11,1120.4596719187102,-1.9561993090654414e-10,-2.5848482976634415e-10,-9.64861818683805e-11,879.5403280847675,0.8000000000000003,0.7322491586865781,0.800000000000001,0.8000000000000002,0.456993056504219,0.8000000000000014,0.8000000000000015,0.8000000000000008,0.5416219823397629,412.59881826800006,1313.868165657894,156.92569035024803,-649.5058355435277,-806.4778047965145,157.02909301219563,-408.68811388941253,-565.576590172671,-722.5799128247675,118.49437398827969,114.5478456842981,114.06735276874184,120.39755293092449,122.7196203347791,122.27094851191671,119.69543995740558,121.33796586278243,123.40465104158389,-9.99999999998266
22,22.0,4.156122397565516e-11,-1000.0,1.3219126115286084e-10,-1.3180200413634947e-11,1119.4261295622973,1.448074696246276e-10,1.4885230623908832e-10,7.857237789828425e-11,880.5738704378027,0.8,0.738421998192751,0.8000000000000003,0.8000000000000003,0.45008301866741474,0.8000000000000004,0.8000000000000005,0.8000000000000003,0.5361863411642209,475.6254119089999,1327.9187936535006,163.9823908798678,-627.568664155429,-791.5218699014422,163.8885942208552,-388.6301030020301,-552.6242193098813,-716.6344192238028,121.02146496774732,117.11811058663062,116.6270301163771,122.82301513905482,125.05821986890544,124.59870120039334,122.14023110769487,123.71367349067778,125.72476725774716,-9.999999999992593
23,23.0,4.823166397488662e-13,-1000.0,5.158936051846412e-12,2.7179843327025303e-11,1118.3797427876227,2.772454925710208e-11,6.407490660236275e-11,-3.2708494843920595e-12,881.6202572126225,0.8,0.7445948376989239,0.8000000000000003,0.8000000000000002,0.4431794400082319,0.8000000000000003,0.8000000000000002,0.8000000000000003,0.5307442408110565,538.1422611830001,1341.9407774203614,170.97305656199487,-605.8343406056777,-776.7017816906505,170.8275877109723,-368.83523183368334,-539.7646497896193,-710.6800616876225,118.83193239957274,114.81145244975508,114.28905666785852,120.60311851789156,122.83649068344494,122.34878067241362,119.91335547010685,121.47859101484893,123.50920661284434,-9.999999999968555
24,24.0,-2.3996870959848606e-11,-1000.0,-6.040407384195316e-11,6.295167575731447e-12,1117.4915372548194,-1.7984306625456687e-11,-5.2626903922385837e-11,-5.6276979126984896e-11,882.5084627458407,0.8000000000000002,0.7507676772050969,0.8000000000000007,0.8000000000000002,0.4362813440992515,0.8000000000000004,0.8000000000000004,0.8000000000000007,0.5252966577076872,600.458928926,1355.6585127705155,177.8149086120604,-583.9781577568076,-761.8994487328013,177.791780232018,-349.1190124707318,-526.9625488467844,-704.7409619338407,120.10804920512203,116.09040668772185,115.55307044337772,121.7978989732162,123.96797089733599,123.46498921653996,121.12112446881233,122.6344184019408,124.62952800254025,-9.999999999995701
