,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,Pi7,Pi8,Pi9,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,B7cs,B8cs,B9cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,Pf17,Pf78,Pf89,V1,V2,V3,V4,V5,V6,V7,V8,V9,Sell Price
0,0.0,-1000.0,2038.8208752619632,-1000.0,-1000.0,3575.1913363467356,-1000.0,-999.9999999953392,-1000.0,2385.9877884235048,0.7469135802469137,0.7281554266959138,0.7469135802469137,0.7469135802469137,0.7186716584176127,0.7469135802469137,0.7469135802468848,0.7469135802469137,0.7260124210591142,-1934.6615858216,-1024.2236859506297,1007.3187061367337,-1553.5315451711413,-2560.754169135811,1007.2156449469242,-364.11742293419917,-1371.4164267020383,-2378.7518646724047,114.00000000000615,117.10233379470647,114.05188944454683,118.67380537263142,126.0,123.17040654537689,115.11247628322201,119.20936915673518,126.0,-1039.2235824942989
1,1.0,-999.999999969586,2023.2053320935568,-999.9999999744008,-999.9999999839272,3583.1915044583266,-999.9999999860532,-999.9999999829685,-999.9999999810639,2393.6031633261164,0.7530864197528987,0.7156665048928672,0.7530864197529284,0.7530864197529872,0.6965531923407094,0.7530864197530004,0.7530864197529524,0.7530864197529695,0.7112370928904345,-1869.4538341532,-994.122138227756,1014.5299857348008,-1539.6649074216461,-2554.2129592733736,1014.5432956100533,-350.119283056284,-1364.6245682897525,-2379.1340153460164,114.06263846355662,117.07335730227379,114.00000000005046,118.69309553828522,125.99999999980926,123.14958259379077,115.13196337890595,119.20824715266609,125.99999999980734,-1039.5358933394102
2,2.0,-999.9999999915448,2015.295357437366,-999.999999994025,-999.9999999949387,3586.429810334148,-999.999999994484,-999.9999999935302,-999.9999999946732,2398.2748321916815,0.7592592592590193,0.703226410093871,0.7592592592590645,0.7592592592591288,0.6744147367213629,0.7592592592591392,0.7592592592590853,0.7592592592591095,0.6964329272596216,-1804.8201837455,-971.9782471684413,1021.696812085925,-1521.4227953234254,-2543.144354024464,1021.673521574084,-333.122683482478,-1354.8682814908082,-2376.5761843757814,114.15254265869412,117.09478113247145,114.00000000000546,118.72572995004224,125.99999999994505,123.12931630965996,115.16939208804295,119.21575680641617,125.99999999994671,-1039.6940928454721
3,3.0,-1000.0,2007.4417389045796,-1000.0,-1000.0,3589.7743464942723,-1000.0,-1000.0,-1000.0,2402.783914845445,0.7654320987651921,0.6908347944216205,0.7654320987652373,0.7654320987653017,0.6522556358170772,0.765432098765312,0.7654320987652582,0.7654320987652824,0.6816009277852669,-1740.1969666838,-949.7727771408858,1028.863258747494,-1503.188919986105,-2532.00631280831,1028.823456921562,-316.14561546093773,-1345.0868026232038,-2373.962814702445,114.24256359660191,117.11619990902079,114.0,118.75856003300434,126.0,123.10899065556865,115.20705389838633,119.22342903046209,126.0,-1039.8511652194654
4,4.0,-999.9999999924869,1999.588662276567,-999.9999999949374,-999.9999999943517,3592.990358250847,-999.999999993701,-999.9999999939672,-999.9999999951008,2407.420979437131,0.7716049382713186,0.6784916545310246,0.7716049382713789,0.7716049382714397,0.6300766829883683,0.771604938271446,0.7716049382713938,0.7716049382714251,0.6667403044554081,-1675.523544356,-927.5085220726297,1036.0130916259375,-1484.8415195747943,-2520.939625140146,1036.054039377701,-299.1982400650626,-1335.2816116910299,-2371.301292955131,114.33264275214475,117.13756512814204,114.00000000000374,118.79117080991975,125.99999999995309,123.08843232580301,115.24492165268796,119.23124210926365,125.99999999994678,-1040.0082267482126
5,5.0,-999.9999999814125,1991.7765463723174,-999.9999999829089,-999.9999999786204,3596.332620690644,-999.9999999708888,-999.999999965421,-999.9999999871811,2411.8908328034704,0.7777777777773767,0.6661967375781089,0.7777777777774463,0.7777777777774806,0.607877098910031,0.7777777777774392,0.7777777777773531,0.7777777777775187,0.6518520894381026,-1610.705744804,-905.2307210124086,1043.263624210909,-1466.5338147911352,-2509.7189962487555,1043.287283944889,-282.21320748786866,-1325.3985282252897,-2368.6410753074706,114.42300045111854,117.15922728048017,114.0,118.82422607611944,125.99999999985224,123.06786299112105,115.28300949175869,119.23905084843048,125.99999999979845,-1040.1644690492349
6,6.0,-999.9999999854447,1984.0116089593705,-999.9999999881227,-999.9999999883152,3599.52235245041,-999.9999999850303,-999.9999999808773,-999.9999999906048,2416.4660385086145,0.7839506172834597,0.653949752337619,0.7839506172835459,0.7839506172835812,0.585657825129473,0.7839506172835197,0.783950617283408,0.7839506172836335,0.6369356324102716,-1546.103301767,-883.0362640502478,1050.4897994801227,-1448.2209475630646,-2498.6112312533796,1050.4074064960303,-265.2230734551324,-1315.6230129710098,-2365.9860923876145,114.51295767206615,117.18081267705593,114.0000000000058,118.85693979779415,125.99999999989221,123.04761198587161,115.32074239364637,119.24684371211433,125.9999999998926,-1040.3197678077238
7,7.0,-999.9999999913565,1976.2104201750055,-999.9999999909529,-999.9999999897976,3602.694901608035,-999.9999999922394,-999.9999999874515,-999.9999999939236,2421.0946781626817,0.7901234567895792,0.6417509225834523,0.7901234567896629,0.790123456789691,0.5634189677121394,0.7901234567896446,0.7901234567895034,0.7901234567897688,0.6219906035327242,-1481.4404717,-860.8853675390525,1057.6765584909529,-1429.9855002339973,-2487.509023071795,1057.6174379362394,-248.25046380330684,-1305.8169169327582,-2363.427142588682,114.60259086804378,117.20227638985574,114.00000000000024,118.88962815918886,125.99999999992234,123.02710186550387,115.35826436943655,119.25435421896043,125.9999999999736,-1040.475791585487
8,8.0,-1000.0,1968.3353593556074,-1000.0,-1000.0,3606.039132704316,-999.9999999976745,-999.9999999955169,-1000.0,2425.6255079535267,0.796296296295752,0.6296007043158252,0.7962962962958358,0.796296296295864,0.541159466892977,0.796296296295803,0.7962962962956485,0.7962962962959417,0.6070176065700481,-1416.972839966,-838.7718628703003,1064.829259665307,-1411.7026160833493,-2476.5257014176414,1064.8173909766745,-231.28111935377774,-1296.1115852582946,-2360.835612904527,114.69193597528908,117.22363448462242,114.00000000000554,118.92195764036431,126.0,123.00661700219767,115.39556733820436,119.26195986560974,126.0,-1040.6332928125723
9,9.0,-600.0000000883159,833.1799283724641,-600.0000000744946,-600.0000000700471,2845.7728297785134,-599.9999518946701,-600.0000001053116,-600.0000000574656,1921.0471941393278,0.8000000000000009,0.6244576183382174,0.7999999999999994,0.8,0.5235929679437269,0.7999999997025602,0.8000000000000023,0.8000000000000002,0.5951592905568425,-1352.436884636,-89.23604366396962,671.9421560964945,-1429.8323571937956,-2101.7472446598426,672.0089878946701,-505.23142315755075,-1177.2157709068622,-1849.1324077893278,115.77518852803816,116.04464446611725,114.00000000000006,120.01990221933376,126.0,124.1192721110266,117.29260963467846,120.75432627673374,126.0,-623.3364010290853
10,10.0,-1.8042958782864965e-10,-865.5450766556901,-2.2694980688871456e-10,-2.4872151138700554e-12,1703.5669875785845,-4.81853991277608e-05,7.394915422383265e-11,-5.985912468669076e-11,1161.9781372629006,0.800000000000002,0.6298004891817711,0.8000000000000007,0.8,0.5130771223413899,0.8000000000000009,0.8000000000000019,0.8000000000000005,0.5879865860058369,-1288.042798715,1023.7347710549171,79.12464562222695,-1466.1285636581829,-1545.2977339361853,79.14762715739913,-924.6893677539147,-1003.8303462968407,-1082.9065835589006,117.3371279334772,114.24266826337389,114.0,121.63178690718512,126.0,125.7799533351485,120.06366706503624,122.95513568579544,126.0,2.689097985013209
11,11.0,1.64313233630203e-09,-873.2696736068386,5.656103271729656e-10,4.188010256518863e-11,1706.7170215469218,5.275783469062219e-10,1.0979191017456817e-09,4.930026165184006e-10,1166.5526520555475,0.7999999999999919,0.6351910427225541,0.7999999999999972,0.7999999999999997,0.5025418320849274,0.7999999999999977,0.7999999999999952,0.7999999999999975,0.5807856437091977,-1224.0562424329999,1045.7304235952731,86.1585053664344,-1448.0814576574912,-1534.3153276654493,86.16402702547242,-907.9478753521383,-994.1239053680404,-1080.3250045935474,117.42368692164253,114.26421554343656,114.00000000000188,121.66338508618742,125.99999999997424,125.76042772301498,120.09948277581776,122.96248410298612,125.99999999997276,2.5346065280338053
