,Power Request,Load Scaling Factor,Cost Result
0,100.0,0.1,0.01
1,100.0,0.15,0.01
2,100.0,0.2,0.01
3,100.0,0.25,0.01
4,100.0,0.3,0.01
5,500.0,0.1,0.02
6,500.0,0.15,0.02
7,500.0,0.2,0.02
8,500.0,0.25,0.02
9,500.0,0.3,0.02
10,1000.0,0.1,0.02
11,1000.0,0.15,0.02
12,1000.0,0.2,0.02
13,1000.0,0.25,0.02
14,1000.0,0.3,0.02
15,2000.0,0.1,0.02
16,2000.0,0.15,0.02
17,2000.0,0.2,0.02
18,2000.0,0.25,0.02
19,2000.0,0.3,0.02
20,5000.0,0.1,0.02
21,5000.0,0.15,0.02
22,5000.0,0.2,0.02
23,5000.0,0.25,0.02
24,5000.0,0.3,0.02
25,10000.0,0.1,0.04
26,10000.0,0.15,0.04
27,10000.0,0.2,0.04
28,10000.0,0.25,0.04
29,10000.0,0.3,0.04
