,iteration,Pi1,Pi2,Pi3,Pi4,Pi5,Pi6,Pi7,Pi8,Pi9,Pi10,B1cs,B2cs,B3cs,B4cs,B5cs,B6cs,B7cs,B8cs,B9cs,B10cs,Pf01,Pf12,Pf23,Pf14,Pf45,Pf56,Pf17,Pf78,Pf89,Pf9x10,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Sell Price
10,10.0,-2.9029329649898297e-09,-1000.0,-1.0356110618523863e-09,-1.1179570538910732e-10,1598.7700320488066,-0.15019070673161955,-2.5299620914335435e-09,-7.225802111667237e-10,907.8963446340898,493.48381403871,0.8000000000000143,0.6411488636024714,0.8000000000000034,0.8000000000000007,0.5088793762009571,0.8000000000000057,0.8000000000000108,0.8000000000000023,0.635126375970897,0.6864503224963535,-1209.035582438,1158.2302728246073,79.1684079790356,-1361.2623751719632,-1440.392776258075,79.27254655773162,-1085.0901926115473,-1164.1563180490773,-1243.1757338987998,-414.44073035871,114.70898618349719,118.34051047275548,114.86389871484916,114.46717269881538,118.55638864388878,122.73504891293868,114.46685427954827,117.7379457247468,121.14921909000394,124.68903841094827,-0.0015019073287376727
11,11.0,2.045398399054204e-09,-1000.0,4.789760728271563e-10,8.565571449301146e-11,1593.9583853638499,8.068418633400782e-10,1.5227583246813732e-09,3.128583468077453e-10,908.6416971616056,497.39991747047145,0.8000000000000016,0.6473217031086442,0.8000000000000004,0.8000000000000002,0.49904012690858773,0.8000000000000007,0.8000000000000014,0.8000000000000004,0.6295174766057019,0.6833799526354246,-1137.713941652,1172.4668509307005,86.22412735152102,-1335.3238668487422,-1421.5969524726565,86.20663886919317,-1061.1682787169127,-1147.3922426843899,-1233.594329798077,-411.2471992804714,114.59766142659147,118.02128521415148,114.49147115811117,114.33401556534969,118.3511462643761,122.4831077692863,114.33406910118809,117.53764142748949,120.90604501932964,124.42583233828424,2.4291324507430545e-10
12,12.0,8.737062175843187e-11,-1000.0,1.2838224041612523e-11,-8.43144245561407e-11,1589.3255895586349,1.7676443049748354e-11,1.1717610175676065e-10,2.5690891076283702e-11,909.3149093131723,501.35950112919375,0.800000000000001,0.6534945426148172,0.8000000000000003,0.8000000000000007,0.4892294751211887,0.8000000000000005,0.8000000000000007,0.8000000000000003,0.6239044216099416,0.6802851409000592,-1066.241844164,1186.727210528164,93.40393494298716,-1309.153461322568,-1402.5509442706525,93.42592577998232,-1037.1830364835089,-1130.5168937483916,-1223.934880784366,-407.9549704371937,114.613475378247,117.82452218954606,114.2449516688817,114.32788804058238,118.26780376224858,122.34810610604153,114.32782071846749,117.46011542550305,120.78178894765706,124.27789408396583,-6.186695600263192e-11
13,13.0,3.1453079897636854e-10,-999.9999999962218,1.9456332718878734e-10,3.471968623379998e-10,1584.7144149163817,3.793164753420097e-10,6.047571942555719e-10,1.4769172078624458e-10,910.0105287780078,505.2750562998443,0.7999999999999992,0.6596673821209668,0.799999999999999,0.7999999999999985,0.4794472873747913,0.7999999999999983,0.7999999999999969,0.7999999999999994,0.6182870726668676,0.6771661590710479,-994.9986612079999,1201.0730700510273,100.54840768480544,-1283.239989566108,-1383.7200398627608,100.50073189162069,-1013.3484634706045,-1113.8206003999999,-1214.291586190852,-404.8430526498443,114.63436349326402,117.63305809317116,114.00344383971768,114.3269583612125,118.19019164390374,122.21916964505456,114.3271043155631,117.38837551312766,120.66360315310939,124.13584992347967,4.495532834880578e-10
14,14.0,-8.103985918942313e-10,-1000.0,-3.624897254299329e-10,-3.069087360363635e-10,1580.1042590312497,-9.016909473816949e-10,-1.7741228338688952e-09,-2.667943961778584e-10,910.7180556093008,509.17768536959437,0.8000000000000042,0.6658402216271396,0.8000000000000014,0.8000000000000004,0.46969355738077123,0.8000000000000038,0.8000000000000078,0.8000000000000009,0.6126653562742175,0.6740230869391368,-924.1609033489999,1215.2008615960847,107.5511863143625,-1257.376486553041,-1364.890781375348,107.60220801090169,-989.5722159498541,-1097.2118854956282,-1204.741445259895,-401.5416537455944,116.82146062655366,119.55821299796065,115.94621896443397,116.49878897439824,120.21701781814629,124.12717236790358,116.49863568863712,119.43463764117465,122.60783412296962,126.0,-3.368292311733967e-10
15,15.0,8.31757257361238e-10,-999.9999999920763,9.191943537909229e-10,7.180255308200376e-10,1575.4376134725474,2.3360004854956294e-09,3.6995136973689723e-09,7.053419394401167e-10,911.448929219411,513.1134572909078,0.799999999999999,0.6720130611332636,0.7999999999999957,0.7999999999999959,0.45996863384081726,0.7999999999999894,0.7999999999999851,0.7999999999999966,0.607039128316073,0.6708557199188225,-853.0180953049999,1229.350674181157,114.60999953608082,-1231.4033120296017,-1346.0630532908835,114.61339490466402,-965.7010187587236,-1080.418478007024,-1195.1700690593188,-398.34891429890786,116.99284884309125,119.51752736366703,115.86152888667164,116.64947355538524,120.28749726841421,124.14236237640712,116.64946336777697,119.51187395842354,122.6351538167023,125.99999999994843,1.0363265801061061e-09
16,16.0,-1.1525674591328736e-10,-999.9999999996505,-6.923786480439195e-10,-6.51670694720463e-10,1570.9124497335715,-1.6887775665736653e-09,-2.327683627891922e-09,-5.361567090562143e-10,912.1306319998869,516.9569182722041,0.7999999999999997,0.6781859006394343,0.8,0.8,0.45027164341036313,0.7999999999999997,0.7999999999999995,0.8,0.6014086923160736,0.6676646278307226,-782.3711197849999,1243.4960610283429,121.70413893069238,-1205.504920178231,-1327.2538562788827,121.82134631868878,-942.058679050227,-1063.7760521045548,-1185.5801584630908,-395.2225155702041,117.1634948253508,119.47779837082496,115.77779174271575,116.79936482035558,120.35757170433142,124.15725015462648,116.79901359714867,119.58867276043362,122.6625203111173,125.99999999999774,-7.304485905024194e-10
17,17.0,-1.0393958415268762e-09,-1000.0,-4.914427187477465e-10,-4.528846387721002e-10,1566.246878836039,-1.1536781764175745e-09,-2.0494600103417636e-09,-3.2178378659800345e-10,912.882852336129,520.870268836467,0.8000000000000062,0.6843587401456072,0.8000000000000032,0.8000000000000028,0.4406034528002641,0.8000000000000068,0.8000000000000121,0.800000000000002,0.5957736129806654,0.664449379257658,-711.3454714430001,1257.8179022686174,128.92392367849143,-1179.7341848274325,-1308.5762657338853,128.87194709515367,-918.3129575362246,-1047.233765587274,-1176.0423276015958,-391.99249011446693,115.66655794494172,117.79938224303496,114.00097335221584,115.27578184621267,118.80370284479696,122.59821856637451,115.2759396572587,118.03118797224447,121.0967587099275,124.44940578151234,-5.269171765576175e-10
18,18.0,1.1660750366161849e-09,-999.9999999991584,5.748285747214696e-10,4.5141699220763004e-10,1561.6745774794701,1.1928395733429397e-09,2.0625162084454678e-09,3.880130892558771e-10,913.5832185395409,524.7422039743118,0.799999999999999,0.6905315796517748,0.7999999999999996,0.8,0.43096348627261305,0.7999999999999995,0.7999999999999995,0.7999999999999996,0.590134210397088,0.6612102298504092,-641.054464481,1271.8498739425836,135.91141337342518,-1154.0893067181146,-1289.940487402663,135.90517554780718,-894.7601955973031,-1030.6717936702405,-1166.6055988968526,-388.8679542433117,115.92288713408243,117.84249609813055,114.00245161784069,115.51180793382042,118.95730447031194,122.6939225390743,115.51182683438847,118.19185367670592,121.20554661856458,124.52874547803341,5.846523265518044e-10
19,19.0,-1.9066233202787488e-09,-1000.0,-1.691454120490216e-10,-1.903117256595008e-09,1557.1197576207621,7.312695035576652e-10,1.772447434397655e-09,-1.0106591068109878e-11,914.2856154138208,528.594626975212,0.8000000000000108,0.6967044191579477,0.8000000000000007,0.8000000000000117,0.4213516359169293,0.7999999999999948,0.7999999999999885,0.7999999999999996,0.584490472030336,0.6579473000542659,-570.5369076349998,1285.9294233814787,142.95502848016915,-1128.2816304735902,-1271.2453587784935,143.00900720626873,-871.114643084795,-1014.1146273640226,-1157.1033590740328,-385.673230841212,116.32540264638526,118.02955196131245,114.15263702526158,115.89448123576695,119.25320927437991,122.92761965231408,115.89431822052049,118.4958786032604,121.45432674513263,124.74424169662207,-1.784467684728952e-09
